,,,,,,,,,,
"医療機関
コード",医療機関名称,郵便番号,住所,電話番号,院内接種,,,出張接種,,
A070032,（医）阪内医院,960-0756,福島県伊達市梁川町青葉町９７,024(577)2222,"3,000 ",×,,×,,
A070004,むらおか内科・耳鼻科・整形外科クリニック,960-1241,福島県福島市松川町字天王原８９,024(567)2244,"3,000 ",○,満6歳以上,×,,
A070035,クリニック２１,960-8031,"福島県福島市栄町６－６
ＮＢＦユニックスビル２Ｆ",024(521)5581,"3,080 ",○,満5歳以上,×,,
A070033,やまもり内科,960-8056,福島県福島市八島田字琵琶渕６２－２,024(529)5565,"3,080 ",○,0ヵ月以上,×,,
A070086,医療法人白寿会　福島中央病院,960-8165,福島県福島市吉倉字谷地５２,024(546)4911,"3,080 ",○,満15歳以上,×,,
A070067,かんの消化器科外科医院,960-8202,福島県福島市山口字雷２０,024(533)3801,"3,000 ",○,満4歳以上,×,,
A070045,敦記念　田口医院,961-0074,福島県白河市郭内１１,0248(24)1111,"3,080 ",×,,○,"3,080 ",1事業所1回訪問20名以上
A070068,白河市表郷クリニック,961-0416,福島県白河市表郷金山字長者久保２－５,0248(32)2316,"3,080 ",○,満1歳以上,×,,
A070052,医療法人　片倉クリニック,961-0972,福島県白河市立石１２０－６,0248(27)2770,"3,000 ",○,満5歳以上,×,,
A070014,みやのもりクリニック,962-0001,福島県須賀川市森宿字横見根１３－３,0248(72)1222,"3,080 ",○,満1歳以上,×,,
A070010,医療法人　関根医院,962-0031,福島県須賀川市影沼町２２６－３,0248(73)1035,"3,000 ",○,満3歳以上,×,,
A070008,医療法人　秀和会　折笠クリニック,962-0822,福島県須賀川市東作１４６－７,0248(72)7065,"3,080 ",○,満1歳以上,×,,
A070049,須賀川南クリニック,962-0826,福島県須賀川市広表７７－１,0248(94)8135,"3,000 ",○,満1歳以上,×,,
A070075,医療法人　慈慧会　安積整形外科,963-0107,福島県郡山市安積３－３４７,024(945)1191,"3,000 ",○,満13歳以上,×,,
A070058,山口内科クリニック,963-0111,福島県郡山市安積町字荒井萬海８３－１,024(973)6866,"3,080 ",○,満6歳以上,×,,
A070007,柏原クリニック,963-3401,"福島県田村郡小野町大字小野新町字
八反田２－３",0247(72)3540,"3,080 ",○,満1歳以上,×,,
A070002,のざわ内科クリニック,963-7719,"福島県田村郡三春町大字貝山字岩田
８６－２",0247(61)1500,"3,000 ",○,満1歳以上,×,,
A070053,医療法人　中町耳鼻咽喉科クリニック,963-8004,福島県郡山市中町１４－１７,024(939)3387,"3,080 ",○,満1歳以上,×,,
A070090,医療法人　郡山病院,963-8005,福島県郡山市清水台２－７－４,024(932)0107,"3,080 ",○,満16歳以上,○,"3,080 ",1事業所1回訪問20名以上
A070038,桜井産婦人科医院,963-8014,福島県郡山市虎丸町２３－１８,024(932)1637,"3,080 ",×,,×,,
A070019,桑野協立病院,963-8034,福島県郡山市島２－９－１８,024(923)6177,"3,080 ",×,,×,,
A070089,さがわ内科・消化器科クリニック,963-8041,福島県郡山市富田町字逆池下１－４１,024(991)1733,"3,080 ",○,満3歳以上,×,,
A070042,斎藤クリニック,963-8813,福島県郡山市芳賀３－３－２０,024(956)3335,"3,080 ",○,満1歳以上,×,,
A070040,せいの内科クリニック,963-8851,福島県郡山市開成６－１９２－２,024(983)1024,"3,080 ",○,満4歳以上,×,,
A070085,たかはし内科・眼科クリニック,963-8861,福島県郡山市鶴見坦１－９－１３,024(923)0161,"3,080 ",○,満1歳以上,×,,
A070037,許田クリニック,963-8862,福島県郡山市菜根３－１３－１０,024(927)8711,"3,000 ",○,満14歳以上,×,,
A070072,山本内科医院,963-8871,福島県郡山市本町２－７－１５,024(933)1133,"3,080 ",○,満13歳以上,×,,
A070020,医療法人社団　慈水会　みずのクリニック,964-0903,福島県二本松市根崎１－５５,0243(23)5158,"3,080 ",×,,×,,
A070051,医療法人　長谷川内科　消化器科医院,965-0033,福島県会津若松市行仁町３－３１,0242(22)7180,"3,080 ",○,0ヵ月以上,○,"3,080 ",1事業所1回訪問10名以上
A070066,医療法人　吉田内科,965-0878,福島県会津若松市中町１－２６,0242(27)0537,"3,080 ",○,満6歳以上,×,,
A070044,君島内科消化器科クリニック,966-0819,福島県喜多方市字１丁目４５６９,0241(24)5800,"3,080 ",○,0ヵ月以上,×,,
A070092,きたむら整形外科,969-0222,福島県西白河郡矢吹町八幡町２６１－１,0248(42)5533,"3,080 ",○,6ヵ月以上,×,,
A070065,（医）はせがわ整形外科クリニック,969-6188,"福島県会津若松市北会津町東小松字古川
５０",0242(56)2882,"2,000 ",○,満13歳以上,×,,
A070071,よしおか内科胃腸科,970-8006,福島県いわき市平下平窪山土内町７－５,0246(22)8500,"3,000 ",○,満1歳以上,×,,
A070087,医療法人　郡山病院　いわき健康管理センター,970-8044,福島県いわき市中央台飯野４－９－２,0246(28)9388,"3,080 ",○,満18歳以上,○,"3,080 ",1事業所1回訪問30名以上
A070054,（医）門屋整形・内科,971-8101,福島県いわき市小名浜字鳥居北５５－２,0246(54)4047,"3,000 ",○,満6歳以上,×,,
A070091,社団医療法人　養生会　かしま病院,971-8143,"福島県いわき市鹿島町下蔵持字中沢目２
２－１",0246(58)8090,"3,080 ",○,満16歳以上,×,,
A070034,小名浜生協病院,971-8151,"福島県いわき市小名浜岡小名字山ノ神
３２",0246(53)4374,"3,080 ",○,満15歳以上,×,,
A070055,おちあい内科・消化器科クリニック,971-8151,福島県いわき市小名浜岡小名１－２－３,0246(73)1171,"3,000 ",○,満13歳以上,×,,
A070005,医療法人社団　くさのクリニック,971-8172,福島県いわき市泉玉露５－１７－６,0246(56)1060,"3,000 ",○,満7歳以上,×,,
A070059,すけがわ内科クリニック,974-8261,福島県いわき市植田町根小屋３０９－３,0246(77)0710,"3,080 ",○,6ヵ月以上,×,,
A070084,ひぐちクリニック,975-0038,"福島県南相馬市原町区日の出町１２５－
２",0244(25)2622,"3,000 ",○,満3歳以上,×,,
A080036,中山産婦人科医院,300-0033,茨城県土浦市川口１－１－１４,029(822)3852,"3,080 ",○,満3歳以上,×,,
A080056,医療法人　鶴町皮フ科クリニック,300-0874,茨城県土浦市荒川沖西１－１７－４,029(842)3046,"3,000 ",○,満3歳以上,×,,
A080046,あくつ整形外科・内科,300-0875,茨城県土浦市中荒川沖町２５－６,029(841)4665,"3,000 ",○,満13歳以上,×,,
A080104,ことより医院,300-1234,茨城県牛久市中央５－１２－１７,029(870)5480,"3,080 ",○,満1歳以上,×,,
A080105,角﨑クリニック,300-1415,茨城県稲敷市中山４３７７,0297(87)6030,"3,080 ",○,満1歳以上,×,,
A080053,柴原医院,300-2617,茨城県つくば市吉沼１１５１,029(865)0511,"3,080 ",○,満13歳以上,×,,
A080092,根本医院,300-4408,茨城県桜川市真壁町真壁２０２,0296(55)0027,"3,000 ",○,満1歳以上,×,,
A080032,明野中央医院,300-4517,茨城県筑西市海老ケ島９２６,0296(52)0026,"2,600 ",○,6ヵ月以上,×,,
A080026,医療法人社団　健幸福会　龍ヶ崎大徳ヘルシークリニック,301-0816,"茨城県龍ケ崎市大徳町１２９８－３
大徳ヘルシービル１Ｆ",0297(64)3133,"3,080 ",○,満3歳以上,○,"3,080 ",1事業所1回訪問20名以上
A080068,医療法人社団　順臣会　取手池松耳鼻咽喉科,302-0004,"茨城県取手市取手２－１０－１５
取手長谷ビル２Ｆ",0297(72)8741,"3,080 ",○,満15歳以上,×,,
A080031,医療法人社団健栄会　守谷駅前クリニック,302-0115,"茨城県守谷市中央１－２３－１
斎藤ビル５階",0297(47)0003,"2,500 ",○,満15歳以上,×,,
A080091,新守谷皮膚科クリニック,302-0118,茨城県守谷市立沢１４２－１６,0297(20)0024,"3,000 ",○,満13歳以上,×,,
A080070,川島クリニック,302-0128,茨城県守谷市けやき台６－１６－１４,0297(46)3273,"3,080 ",○,満7歳以上,×,,
A080082,加藤真砂子クリニック,303-0021,茨城県常総市水海道諏訪町３２３０,0297(22)0235,"3,000 ",○,満1歳以上,×,,
A080047,三津山クリニック,304-0023,茨城県下妻市大串４５２－２,0296(48)9131,"3,000 ",○,満1歳以上,×,,
A080013,医療法人（社）白峰会　とき田クリニック,304-0056,茨城県下妻市長塚２８－１,0296(44)3232,"3,080 ",○,満15歳以上,×,,
A080061,菊山胃腸科外科医院,304-0068,茨城県下妻市下妻丁８１－７,0296(44)2014,"3,000 ",○,満1歳以上,×,,
A080098,医療法人　倉田内科クリニック,305-0001,茨城県つくば市栗原３４４３,029(857)8181,"3,080 ",○,6ヵ月以上,×,,
A080065,医療法人　博友会　菊池内科クリニック,305-0861,茨城県つくば市谷田部５９１５,029(839)5070,"3,080 ",○,満18歳以上,×,,
A080019,医療法人　賢友会　長島外科,306-0023,茨城県古河市本町１－９－１５,0280(32)3011,"3,080 ",○,満6歳以上,×,,
A080072,河村胃腸科外科医院,306-0631,茨城県坂東市岩井４６８５－１,0297(35)2618,"3,000 ",○,6ヵ月以上,×,,
A080094,医療法人　兼愛会　栗原胃腸科医院,307-0001,茨城県結城市大字結城３５４－３,0296(32)2727,"3,080 ",○,満1歳以上,×,,
A080055,上牧小児科医院,308-0001,茨城県筑西市樋口１３００,0296(24)5661,"3,000 ",○,満1歳以上,×,,
A080033,野中医院,308-0843,茨城県筑西市野殿１５９５－２,0296(25)0155,"3,000 ",○,満1歳以上,×,,
A080042,山本内科小児科医院,309-1705,茨城県笠間市東平４－５－３４,0296(71)2232,"3,000 ",○,満1歳以上,×,,
A080100,いちょう坂クリニック,310-0011,"茨城県水戸市三の丸１－４－７３
水戸三井ビルディング１Ｆ",029(306)7251,"3,080 ",○,満5歳以上,×,,
A080103,茨城保健生活協同組合　城南病院附属クリニック,310-0803,茨城県水戸市城南３－１５－８,029(226)3022,"3,080 ",○,満1歳以上,×,,
A080048,お多福もの忘れクリニック,310-0841,茨城県水戸市酒門町４６３７－２,029(291)6211,"3,000 ",○,満20歳以上,×,,
A080052,医療法人　坂本内科医院,310-0912,茨城県水戸市見川２－１９２－３,029(241)3939,"3,000 ",○,満16歳以上,×,,
A080097,仲沢医院,311-2425,茨城県潮来市あやめ２－２７－１１,0299(63)2003,"3,080 ",○,満1歳以上,×,,
A080015,金塚医院,311-3513,茨城県行方市手賀３１２５,0299(55)0556,"3,000 ",○,満1歳以上,×,,
A080110,医療法人蔦会　アイビークリニック,312-0018,茨城県ひたちなか市笹野町１－３－１,029(274)1155,"3,000 ",○,満13歳以上,×,,
A080060,医療法人　石岡ひかりクリニック,315-0031,茨城県石岡市東大橋１８９８－５,0299(26)8055,"3,080 ",○,満1歳以上,×,,
A080109,新島スカイクリニック,316-0036,茨城県日立市鮎川町３－１－２１,0294(33)5511,"3,080 ",○,満3歳以上,×,,
A080043,柴原皮膚科,317-0065,茨城県日立市助川町１－７－９,0294(24)2611,"3,080 ",○,満1歳以上,×,,
A080020,医療法人　梅林会　梅里クリニック,319-0202,茨城県笠間市下郷４４６８,0299(45)2002,"3,080 ",○,満1歳以上,×,,
A080099,医療法人社団久慈川会　西野医院,319-1231,茨城県日立市留町１１６６－１,0294(27)1313,"3,080 ",○,0ヵ月以上,×,,
A090022,金子耳鼻咽喉科クリニック,320-0041,栃木県宇都宮市松原２－３－１４,028(622)8480,"3,000 ",○,満1歳以上,×,,
A090008,社会医療法人　中山会　宇都宮記念病院,320-0811,栃木県宇都宮市大通り１－３－１６,028(622)1991,"3,080 ",×,,○,"3,080 ",1事業所1回訪問50名以上
A090019,後藤医院,320-0851,栃木県宇都宮市鶴田町１９８３,028(648)3708,"2,500 ",○,満1歳以上,×,,
A090028,ファミリークリニックたまい,321-0144,栃木県宇都宮市末広２－６－１９,028(653)6701,"3,080 ",○,満13歳以上,×,,
A090059,医療法人社団　新生会　塩谷医院,321-0526,栃木県那須烏山市田野倉１８３,0287(88)2055,"3,000 ",○,満1歳以上,×,,
A090005,医療法人　北斗会　宇都宮東病院,321-0901,栃木県宇都宮市平出町３６８－８,028(664)1551,"3,080 ",○,満16歳以上,○,"3,080 ",1事業所1回訪問30名以上
A090021,医療法人社団豊和会　村田整形外科医院,321-0904,栃木県宇都宮市陽東１－１０－５,028(661)1622,"3,080 ",○,満15歳以上,×,,
A090041,いしだ整形外科,321-0912,栃木県宇都宮市石井町３２３６－１,028(657)7311,"2,800 ",○,0ヵ月以上,×,,
A090038,医療法人道優会　橋壁皮膚科,321-0923,栃木県宇都宮市下栗町１５０５,028(657)0100,"3,080 ",○,満13歳以上,×,,
A090031,医療法人社団　竹山会　青木医院,321-0954,栃木県宇都宮市元今泉１－３－１１,028(634)2100,"3,080 ",○,満1歳以上,×,,
A090035,双葉クリニック,321-0968,栃木県宇都宮市中今泉３－２８－１,028(633)4922,"3,080 ",○,満1歳以上,×,,
A090015,冨塚メディカルクリニック,321-2116,栃木県宇都宮市徳次郎町８８８,028(666)2555,"3,000 ",×,,×,,
A090001,医療法人　宇都宮健康クリニック,321-2116,栃木県宇都宮市徳次郎町５－５,028(666)2201,"3,000 ",○,満18歳以上,×,,
A090017,日光市立三依診療所,321-2803,栃木県日光市中三依３２１,0288(76)1515,"3,000 ",×,,×,,
A090032,医療法人　富士見会　ミヤ健康クリニック,321-3226,栃木県宇都宮市ゆいの杜３－２－２３,028(667)8181,"3,000 ",○,満5歳以上,×,,
A090061,清原診療所,321-3231,栃木県宇都宮市清原工業団地１５－１,028(666)3800,"3,000 ",○,満1歳以上,×,,
A090048,医療法人　真岡脳神経クリニック,321-4333,栃木県真岡市大谷本町３－２０,0285(81)0070,"3,080 ",○,満3歳以上,×,,
A090023,岡田・小松崎クリニック,321-4333,栃木県真岡市大谷本町７－１７,0285(84)1941,"2,500 ",○,0ヵ月以上,×,,
A090003,医療法人社団　福田会　福田記念病院,321-4355,栃木県真岡市上大沼１２７－１,0285(84)7765,"3,080 ",○,満16歳以上,×,,
A090016,医療法人　弘心会　さとう循環器科内科クリニック,321-4362,栃木県真岡市熊倉３－３４－１４,0285(84)7757,"3,000 ",○,0ヵ月以上,×,,
A090025,医療法人　創生会　真岡西部クリニック,321-4364,栃木県真岡市長田６０２－２,0285(82)2222,"2,580 ",○,満1歳以上,×,,
A090020,小池医院,322-0002,栃木県鹿沼市千渡２３４８－８,0289(60)1300,"3,080 ",○,満3歳以上,×,,
A090064,医療法人社団　亮仁会　那須中央病院　総合健診センター,324-0036,栃木県大田原市下石上１４５３,0287(29)2525,"3,080 ",○,満18歳以上,○,"3,080 ",1事業所1回訪問20名以上
A090044,整形外科かないクリニック,326-0144,栃木県足利市葉鹿南町１３－９,0284(62)6267,"3,000 ",○,満6歳以上,×,,
A090030,丸山レディースクリニック,327-0831,栃木県佐野市浅沼町８０４－３,0283(22)0022,"3,000 ",○,満1歳以上,×,,
